brands,latitude,longitude,street_address,city,postal_code,week_start_date,median_dwell,h3_cell,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,total_visits,android,ios
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-08-09,9.0,8629a559fffffff,11,12,14,9,11,10,15,82,18,54
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-08-16,10.5,8629a559fffffff,16,14,5,12,7,12,40,106,16,77
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-08-23,9.5,8629a559fffffff,23,9,8,12,14,19,11,96,25,47
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-08-30,10.0,8629a559fffffff,14,9,10,13,12,12,17,87,7,52
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-09-06,10.0,8629a559fffffff,14,10,8,9,16,10,18,85,10,47
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-09-13,8.5,8629a559fffffff,8,9,7,6,10,8,12,60,10,36
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-09-20,8.0,8629a559fffffff,11,10,8,1,11,9,12,62,19,43
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-09-27,10.0,8629a559fffffff,3,15,8,9,8,16,9,68,10,44
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-10-04,8.5,8629a559fffffff,6,6,7,12,18,9,8,66,10,48
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-10-11,9.5,8629a559fffffff,10,4,4,6,12,12,26,74,20,38
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-10-18,10.0,8629a559fffffff,8,8,2,4,8,12,11,53,10,29
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-10-25,10.0,8629a559fffffff,10,6,10,10,16,5,13,70,7,41
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-11-01,21.0,8629a559fffffff,13,6,5,7,8,16,8,63,8,35
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-11-08,6.0,8629a559fffffff,3,12,4,17,16,14,8,74,9,45
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-11-15,10.0,8629a559fffffff,11,3,4,9,10,13,12,62,9,44
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-11-22,8.0,8629a559fffffff,11,11,20,0,21,9,13,85,15,61
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-11-29,8.0,8629a559fffffff,10,7,14,12,16,8,21,88,14,55
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-12-06,8.0,8629a559fffffff,8,4,8,10,13,13,11,67,12,49
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-12-13,9.0,8629a559fffffff,12,2,7,12,14,15,18,80,15,52
Taco Bell,33.4658,-117.7036,34117 Pacific Coast Hwy,Dana Point,92629.0,2021-12-20,10.0,8629a559fffffff,12,8,7,3,5,0,8,43,6,31
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2020-12-28,8.0,8629a094fffffff,11,12,4,10,7,12,11,67,19,44
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-01-04,7.0,8629a094fffffff,9,8,14,11,11,13,9,75,24,44
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-01-11,6.0,8629a094fffffff,4,8,15,13,7,8,5,60,12,43
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-01-18,8.0,8629a094fffffff,7,11,11,10,8,10,6,63,21,38
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-01-25,7.0,8629a094fffffff,4,10,11,14,9,5,10,63,21,35
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-02-01,6.0,8629a094fffffff,10,8,5,9,10,11,8,61,15,43
