name,field,units,description,agg
Recorded 2021 Visits,total_visits,visits,The total visits at brand stores in 2021 recorded by SafeGraph,sum
Android Visits,android,android visits,The number of SafeGraph visits at brand stores from an Android device,sum
iOS Visits,ios,iOS visits,The number of SafeGraph visits at brand stores from an iOS device,sum
Number of Stores,latitude,stores,The number of different brand stores,nunique
Median Visit Time,median_dwell,minutes,The median number of minutes spent at the brand store,median
